Creator Name,Primary Game,Platform,Followers,Hours Streamed,Monthly Revenue (£),Satisfaction Score (1-5)
GoldenKnight554,League of Legends,Twitch,56478,68.0,350.39,4.0
TurboRanger574,Among Us,Twitch,73024,77.7,51.19,3.0
MegaWolf475,Roblox,YouTube,136082,146.6,144.51,2.0
UltraPilot208,Terraria,twitch,90215,92.0,172.24,2.0
FrostRaven924,FIFA 25,kick,122821,133.1,289.97,1.0
CyberShark801,Stardew Valley,twitch,78943,83.8,1707.11,3.0
SilentPhoenix786,GTA V,Youtube,37991,40.4,642.45,2.0
NeonFalcon285,Apex Legends,TWITCH_tv,123495,134.6,419.48,2.0
LuckyWolf195,Roblox,YouTube,29416,25.3,1022.22,1.0
PrimeHawk482,Overwatch 2,YouTube,38842,37.3,654.08,
VortexPilot930,League of Legends,TWITCH_tv,108711,113.6,760.1,5.0
TurboPanda118,Roblox,kick,126306,135.0,488.44,3.0
MegaOtter123,Terraria,twitch,161107,161.3,255.6,3.0
PrimeFalcon571,FIFA 25,Twitch,47588,50.5,613.39,5.0
GhostHawk200,Minecraft,YouTube,19661,21.7,571.15,3.0
HyperViper482,FIFA 25,Kick,165928,172.2,1240.38,4.0
CosmicTitan444,Call of Duty,Twitch,43098,29.5,632.07,3.0
RoyalFox800,Stardew Valley,TWITCH_tv,26117,37.2,314.82,3.0
CyberTiger463,GTA V,Kick,58864,53.9,294.03,3.0
TurboCobra615,Valorant,Youtube,77745,96.2,2869.58,4.0
SolarRogue75,Valorant,Twich,154383,159.1,27.3,4.0
FrostFalcon533,Rocket League,YouTube,144631,137.4,1610.23,3.0
MysticEagle926,Minecraft,YouTube,127104,128.1,783.98,1.0
SilentJaguar242,League of Legends,twitch,34405,33.2,946.94,5.0
GhostHunter873,Valorant,kick,59431,65.7,1304.4,
PrimeCobra286,Minecraft,twitch,84588,87.2,857.45,1.0
GoldenRanger539,Terraria,Youtube,26273,28.2,475.75,2.0
GhostLynx653,Fortnite,TWITCH_tv,43377,50.7,2161.1,5.0
GhostWizard256,Minecraft,YouTube,53236,56.9,1202.82,2.0
MysticLynx915,Terraria,Youtube,26552,24.7,357.3,5.0
MysticRaven549,Valorant,YouTube,90267,99.9,1833.81,4.0
PrimePhoenix288,Stardew Valley,Kick,116175,127.5,75.94,5.0
EpicWolf546,Minecraft,TWITCH_tv,4298,14.4,2258.87,1.0
PrimeGamer174,Valorant,YouTube,87846,87.6,991.05,3.0
CyberGamer572,Fortnite,twitch,140003,141.2,64.4,3.0
SilentHawk577,GTA V,TWITCH_tv,131698,135.1,1100.18,5.0
LunarNinja793,Rocket League,TWITCH_tv,148966,147.1,446.47,
ToxicSniper393,FIFA 25,Twitch,79913,81.8,374.68,2.0
LunarTiger371,Roblox,Twitch,145331,148.1,990.06,1.0
MysticBear588,Fortnite,YouTube,46586,44.9,718.8,4.0
UltraBear130,Among Us,YouTube,63658,66.2,1422.79,5.0
UltraRaven709,Roblox,YouTube,28983,33.4,88.86,1.0
SolarSniper841,Among Us,Twitch,100153,85.2,1059.1,2.0
IronJaguar302,GTA V,twitch,66094,71.8,891.6,2.0
CosmicRaven237,Stardew Valley,Twitch,38828,44.9,1187.86,5.0
PixelBear182,FIFA 25,Youtube,133982,135.8,396.86,3.0
WildOtter314,Minecraft,Kick,58520,57.9,2586.66,2.0
CyberCobra765,League of Legends,Twitch,38332,50.6,958.27,2.0
EpicFalcon711,Stardew Valley,YouTube,34516,25.3,574.36,3.0
IronNinja572,FIFA 25,Twitch,76841,80.1,442.64,2.0
SilentTiger244,Rocket League,Twitch,45718,55.9,1233.0,1.0
